sessionId	userId	timestamp	mode	activity	shape_n	weight_n	flow_n	kt	baselineReady	note								
sess_ys157bttz	anonymous	2026-03-24T02:43:50.937Z	B	Victory	1	0	1	0.25	TRUE	0.596	0.3919	0.3481	0.7058	0.5552	0.6143	0.4036	0.6439	left
sess_ys157bttz	anonymous	2026-03-24T02:43:51.817Z	B	Victory	0	0	0.6494944132	0.1226769554	TRUE	0.6292	0.4306	0.6036	0.4418	0.5447	0.6327	0.4086	0.6216	right
sess_ys157bttz	anonymous	2026-03-24T02:43:52.955Z	B	Victory	1	0	1	0.25	TRUE	0.6571	0.4468	0.4851	1.1209	0.5466	0.6406	0.4399	0.6219	left
sess_ys157bttz	anonymous	2026-03-24T02:43:54.965Z	B	Victory	1	0	1	0.25	TRUE	0.7127	0.5728	0.4619	1.0713	0.6218	0.6509	0.4802	0.621	left
sess_ys157bttz	anonymous	2026-03-24T02:43:58.300Z	B	Dance_Continuous	0.1311530612	0.03158075261	1	0.04542056634	TRUE	0.5266	0.5014	0.464	0.4967	0.5495	0.6182	0.4032	0.6202	30s_Interval_AutoLog
sess_ys157bttz	anonymous	2026-03-24T02:43:58.781Z	B	Victory	0	0	1	0	TRUE	0.5747	0.4467	0.4671	0.5149	0.5608	0.6213	0.4147	0.6346	left
sess_ys157bttz	anonymous	2026-03-24T02:43:59.743Z	B	Victory	0.8793054888	0.2013568857	0.8008825889	0.3700602204	TRUE	0.3262	0.5654	0.3255	0.5606	0.5224	0.6187	0.4528	0.6353	right
sess_ys157bttz	anonymous	2026-03-24T02:44:00.119Z	B	Gull_Flap	0.3751504769	0.4192208648	0.514021722	0.4315683625	TRUE	0.3395	0.5925	0.3378	0.5947	0.4718	0.6213	0.4721	0.6251	
sess_ys157bttz	anonymous	2026-03-24T02:44:00.837Z	B	Victory	0.2738900622	0	0.9628736734	0.08146672984	TRUE	0.3508	0.4457	0.3502	0.4475	0.5115	0.6089	0.4111	0.6276	left
sess_ys157bttz	anonymous	2026-03-24T02:44:02.851Z	B	Victory	0	0	1	0	TRUE	0.5262	0.3877	0.4242	0.2669	0.5407	0.5795	0.4011	0.5889	left
sess_ys157bttz	anonymous	2026-03-24T02:44:04.895Z	B	Victory	1	0	1	0.25	TRUE	0.5574	0.3941	0.3634	1.0632	0.5581	0.6199	0.4065	0.6447	left
sess_ys157bttz	anonymous	2026-03-24T02:44:06.933Z	B	Victory	1	0	1	0.25	TRUE	0.5463	0.3998	0.4259	0.9462	0.554	0.6298	0.3981	0.648	left
sess_ys157bttz	anonymous	2026-03-24T02:44:08.903Z	B	Victory	1	0	1	0.25	TRUE	0.5512	0.4108	0.315	0.7583	0.551	0.6151	0.3968	0.6325	right
sess_ys157bttz	anonymous	2026-03-24T02:44:10.969Z	B	Victory	1	0	1	0.25	TRUE	0.5962	0.4502	0.3958	1.0795	0.5431	0.6286	0.4112	0.6167	left
sess_ys157bttz	anonymous	2026-03-24T02:44:13.022Z	B	Victory	1	0	1	0.25	TRUE	0.5451	0.4321	0.3647	1.0558	0.5835	0.6166	0.4241	0.6502	left
sess_ys157bttz	anonymous	2026-03-24T02:44:14.597Z	B	Victory	0.4319284621	0	0.9279393067	0.1332033582	TRUE	0.6217	1.0137	0.4606	0.6564	0.6043	0.6471	0.4402	0.6348	right
sess_ys157bttz	anonymous	2026-03-24T02:44:17.587Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.6777	1.0495	0.4807	0.33	0.6223	0.6479	0.4702	0.6183	right
sess_ys157bttz	anonymous	2026-03-24T02:44:19.430Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.6738	1.0431	0.4724	0.3238	0.6205	0.65	0.4707	0.6218	right
sess_ys157bttz	anonymous	2026-03-24T02:44:20.967Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.6765	1.0353	0.4853	0.3074	0.6182	0.6487	0.4702	0.616	right
sess_ys157bttz	anonymous	2026-03-24T02:44:22.542Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.6784	1.0271	0.4752	0.3342	0.6212	0.6444	0.4734	0.6081	right
sess_ys157bttz	anonymous	2026-03-24T02:44:24.009Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.6641	1.0287	0.4721	0.3209	0.6179	0.6396	0.4687	0.6098	right
sess_ys157bttz	anonymous	2026-03-24T02:44:26.038Z	B	Heart	0.3194014796	0	1	0.0798503699	TRUE	0.5164	0.5151	0.5164	0.516	0.3936	0.6029	0.4542	0.6173	
sess_ys157bttz	anonymous	2026-03-24T02:44:26.948Z	B	Fireworks_Explosion	0.7890512506	0	1	0.1972628127	TRUE	0.6194	1.0284	0.4631	0.2853	0.5371	0.6758	0.4052	0.6565	right
sess_ys157bttz	anonymous	2026-03-24T02:44:28.351Z	B	Dance_Continuous	0.6027300825	0	1	0.1506825206	TRUE	0.5555	0.3067	0.4113	0.5585	0.5827	0.6318	0.4332	0.6465	30s_Interval_AutoLog
sess_ys157bttz	anonymous	2026-03-24T02:44:28.645Z	B	Victory	0.2136437391	0.1772149042	0.8914322238	0.1622956181	TRUE	0.5475	0.3236	0.449	0.2854	0.571	0.6325	0.4301	0.6394	right
sess_ys157bttz	anonymous	2026-03-24T02:44:31.508Z	B	Fireworks_Explosion	1	0.0822918731	0.7694422832	0.3636119501	TRUE	0.642	1.0738	0.4421	0.3242	0.5904	0.6464	0.4377	0.6311	right
sess_ys157bttz	anonymous	2026-03-24T02:44:33.226Z	B	Fireworks_Explosion	1	0.1874258662	0.6543876785	0.445934659	TRUE	0.5985	0.8339	0.4372	0.4347	0.5947	0.6358	0.446	0.6177	right
sess_ys157bttz	anonymous	2026-03-24T02:44:33.568Z	B	Heart	0.5285857394	0.05238413058	0.8093637856	0.2198227621	TRUE	0.4904	0.3833	0.4664	0.4028	0.5646	0.5911	0.4334	0.597	
sess_ys157bttz	anonymous	2026-03-24T02:44:36.437Z	B	Victory	0.5084670227	0.3246476481	1	0.2569758149	TRUE	0.6115	1.0272	0.439	0.3659	0.5571	0.6328	0.4055	0.6265	right
sess_ys157bttz	anonymous	2026-03-24T02:44:38.467Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.6186	1.0314	0.5068	0.4566	0.5766	0.6404	0.4235	0.624	right
sess_ys157bttz	anonymous	2026-03-24T02:44:39.269Z	B	Fireworks_Explosion	1	0	0.9934604623	0.2522888382	TRUE	0.6466	1.0286	0.5654	0.3335	0.6134	0.617	0.4642	0.5955	right
sess_ys157bttz	anonymous	2026-03-24T02:44:41.663Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.645	1.0399	0.5276	0.2881	0.6034	0.6327	0.4468	0.6092	right
sess_ys157bttz	anonymous	2026-03-24T02:44:42.160Z	B	Victory	1	0	1	0.25	TRUE	0.6359	1.0178	0.5143	0.3485	0.6028	0.631	0.4503	0.5961	right
sess_ys157bttz	anonymous	2026-03-24T02:44:42.797Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.6449	1.022	0.5272	0.3884	0.601	0.6298	0.4499	0.6201	right
sess_ys157bttz	anonymous	2026-03-24T02:44:47.190Z	B	Heart	0	0	1	0	TRUE	0.4164	0.2884	0.4191	0.2933	0.508	0.6071	0.3423	0.6195	
sess_ys157bttz	anonymous	2026-03-24T02:44:48.640Z	B	Heart	0	0	1	0	TRUE	0.5111	0.4247	0.5046	0.4169	0.4492	0.6173	0.3497	0.6109	
sess_ys157bttz	anonymous	2026-03-24T02:44:49.264Z	B	Gull_Flap	0	0	1	0	TRUE	0.5501	0.4718	0.5465	0.4735	0.3999	0.6323	0.4002	0.6351	
sess_ys157bttz	anonymous	2026-03-24T02:44:51.548Z	B	Heart	0	0	1	0	TRUE	0.4576	0.3626	0.4509	0.3569	0.5395	0.6062	0.3961	0.6107	
sess_ys157bttz	anonymous	2026-03-24T02:44:53.095Z	B	Heart	0	0	1	0	TRUE	0.4842	0.3415	0.4776	0.3434	0.563	0.5948	0.416	0.6068	
